Course Quality,Instructor Quality,Difficulty,Amount Learned,Work Required
2.59218390804598,2.80567049808429,2.60425287356322,2.64302681992337,2.52992337164751
2.60206477732794,2.83408906882591,2.56461538461538,2.65854251012146,2.51485829959514
2.61583643122677,2.83159851301115,2.61033457249071,2.6839405204461,2.47148698884758
2.63138775510204,2.84910204081633,2.58534693877551,2.68518367346939,2.51257142857143
2.67134328358209,2.9089552238806,2.64253731343284,2.7319776119403,2.51011194029851
2.74153225806452,2.94870967741935,2.58302419354839,2.81895161290323,2.49903225806452
2.73916058394161,2.93872262773723,2.52558394160584,2.79777372262774,2.37529197080292
2.71464435146444,2.94355648535565,2.54970711297071,2.78046025104603,2.43874476987448
2.73854961832061,2.99103053435114,2.5868320610687,2.8656106870229,2.37958015267176
2.70291139240506,2.92278481012658,2.55755274261603,2.80649789029536,2.38860759493671
2.68316363636364,2.90516363636364,2.54898181818182,2.78552727272727,2.35545454545455
2.69957805907173,2.9426582278481,2.48721518987342,2.76978902953587,2.35493670886076
2.65436781609195,2.90206896551724,2.48222222222222,2.72310344827586,2.28904214559387
